deployment_id,description,original_environment,environment,created_at,completed_at,is_production_environment,status,repo_id,creator_id
deploy-20,deployed from the others to prod 2023-04-07,others,prod,2023-04-07T08:56:06,2023-04-13T10:28:59,True,failed,repo-2,69
deploy-21,deployed from the prod to prod 2022-11-27,prod,prod,2022-11-27T10:57:05,2023-05-08T11:51:31,True,success,repo-2,13
deploy-22,deployed from the UAT to others 2023-06-04,UAT,others,2023-06-04T16:49:10,2023-07-04T19:36:54,False,failed,repo-31,44
deploy-23,deployed from the others to prod 2023-02-26,others,prod,2023-02-26T16:36:09,2023-04-01T22:01:03,True,success,repo-30,90
deploy-24,deployed from the QA to build 2023-01-18,QA,build,2023-01-18T04:32:16,2023-04-20T05:43:17,False,success,repo-19,31
deploy-25,deployed from the UAT to build 2023-03-30,UAT,build,2023-03-30T23:25:36,2023-05-14T13:00:30,False,success,repo-2,26
deploy-26,deployed from the others to build 2023-03-24,others,build,2023-03-24T12:01:59,2023-04-14T18:40:34,False,failed,repo-24,10
deploy-27,deployed from the prod to prod 2022-11-07,prod,prod,2022-11-07T23:51:38,2023-04-06T14:21:16,True,success,repo-12,74
deploy-28,deployed from the others to others 2023-06-22,others,others,2023-06-22T07:39:33,2023-07-15T17:29:21,False,success,repo-23,51
deploy-29,deployed from the build to UAT 2023-03-31,build,UAT,2023-03-31T16:25:43,2023-05-18T19:30:39,False,success,repo-21,17
deploy-30,deployed from the others to others 2023-05-30,others,others,2023-05-30T18:44:02,2023-07-19T16:54:10,False,failed,repo-8,93
deploy-31,deployed from the prod to prod 2023-06-11,prod,prod,2023-06-11T09:29:49,2023-07-15T18:02:41,True,failed,repo-30,49
deploy-32,deployed from the others to build 2023-03-23,others,build,2023-03-23T02:53:31,2023-04-23T07:00:15,False,failed,repo-2,45
deploy-33,deployed from the QA to build 2023-02-04,QA,build,2023-02-04T00:52:09,2023-05-14T16:35:18,False,success,repo-15,70
deploy-34,deployed from the others to build 2022-12-28,others,build,2022-12-28T23:38:56,2023-04-08T18:38:03,False,failed,repo-10,92
deploy-35,deployed from the build to build 2023-05-11,build,build,2023-05-11T19:41:54,2023-05-26T12:21:05,False,success,repo-22,58
deploy-36,deployed from the others to others 2023-04-29,others,others,2023-04-29T07:34:14,2023-07-09T23:27:40,False,success,repo-25,75
deploy-37,deployed from the QA to UAT 2023-03-06,QA,UAT,2023-03-06T13:28:29,2023-07-10T15:23:41,False,failed,repo-11,29
deploy-38,deployed from the QA to prod 2023-06-25,QA,prod,2023-06-25T12:23:28,2023-07-10T18:21:11,True,success,repo-6,9
deploy-39,deployed from the UAT to others 2023-02-11,UAT,others,2023-02-11T04:29:01,2023-02-22T10:34:36,False,success,repo-15,12
deploy-40,deployed from the QA to others 2023-03-24,QA,others,2023-03-24T16:33:20,2023-07-18T10:00:03,False,success,repo-25,34
deploy-41,deployed from the UAT to QA 2022-10-12,UAT,QA,2022-10-12T17:44:57,2023-06-24T19:37:53,False,success,repo-14,57
deploy-42,deployed from the UAT to QA 2022-08-24,UAT,QA,2022-08-24T15:08:32,2022-09-05T21:39:25,False,success,repo-20,80
deploy-43,deployed from the others to UAT 2023-02-09,others,UAT,2023-02-09T17:32:11,2023-06-13T17:16:20,False,failed,repo-29,95
deploy-44,deployed from the build to UAT 2023-07-06,build,UAT,2023-07-06T04:19:32,2023-07-06T17:44:43,False,failed,repo-15,36
deploy-45,deployed from the others to UAT 2022-09-15,others,UAT,2022-09-15T02:28:45,2022-10-24T00:53:26,False,failed,repo-23,14
deploy-46,deployed from the UAT to UAT 2023-07-16,UAT,UAT,2023-07-16T08:43:03,2023-07-16T19:49:07,False,failed,repo-5,42
deploy-47,deployed from the build to UAT 2022-09-18,build,UAT,2022-09-18T08:31:35,2022-11-04T07:13:14,False,failed,repo-24,11
deploy-48,deployed from the QA to prod 2023-02-14,QA,prod,2023-02-14T19:32:17,2023-05-01T00:04:36,True,failed,repo-25,96
deploy-49,deployed from the QA to build 2023-05-13,QA,build,2023-05-13T06:13:45,2023-05-17T14:45:22,False,success,repo-19,76
deploy-50,deployed from the others to QA 2022-07-27,others,QA,2022-07-27T00:21:24,2023-06-13T12:05:42,False,failed,repo-23,88
deploy-51,deployed from the UAT to others 2022-10-25,UAT,others,2022-10-25T15:50:18,2023-03-29T14:10:49,False,failed,repo-14,98
deploy-52,deployed from the QA to QA 2022-12-06,QA,QA,2022-12-06T04:01:44,2023-05-22T11:20:03,False,success,repo-10,90
deploy-53,deployed from the UAT to UAT 2023-07-11,UAT,UAT,2023-07-11T09:00:36,2023-07-13T08:00:53,False,success,repo-12,74
deploy-54,deployed from the build to prod 2022-10-22,build,prod,2022-10-22T02:35:04,2023-07-05T20:33:38,True,failed,repo-31,69
deploy-55,deployed from the UAT to build 2022-12-08,UAT,build,2022-12-08T03:05:48,2022-12-28T06:14:21,False,failed,repo-24,1
deploy-56,deployed from the UAT to build 2022-10-14,UAT,build,2022-10-14T22:19:58,2022-11-30T22:27:20,False,failed,repo-16,12
deploy-57,deployed from the build to build 2022-08-02,build,build,2022-08-02T13:18:41,2022-11-04T20:42:51,False,success,repo-4,42
deploy-58,deployed from the prod to prod 2023-01-02,prod,prod,2023-01-02T11:46:10,2023-03-12T11:23:33,True,failed,repo-10,79
deploy-59,deployed from the prod to prod 2023-06-05,prod,prod,2023-06-05T03:59:29,2023-06-08T04:27:08,True,failed,repo-19,15
deploy-60,deployed from the QA to prod 2022-11-08,QA,prod,2022-11-08T00:43:58,2023-01-25T05:13:01,True,success,repo-25,11
deploy-61,deployed from the prod to prod 2023-01-05,prod,prod,2023-01-05T07:09:57,2023-03-10T21:59:18,True,success,repo-14,63
deploy-62,deployed from the build to others 2023-03-21,build,others,2023-03-21T01:26:52,2023-06-07T03:17:32,False,failed,repo-9,84
deploy-63,deployed from the others to build 2023-07-11,others,build,2023-07-11T20:11:01,2023-07-17T09:18:04,False,failed,repo-12,78
deploy-64,deployed from the UAT to UAT 2022-09-14,UAT,UAT,2022-09-14T21:24:39,2022-12-29T02:14:18,False,success,repo-15,44
deploy-65,deployed from the others to build 2023-05-25,others,build,2023-05-25T22:15:20,2023-06-25T13:29:14,False,success,repo-34,64
deploy-66,deployed from the UAT to others 2022-12-17,UAT,others,2022-12-17T06:04:14,2023-03-26T07:48:06,False,success,repo-23,88
deploy-67,deployed from the others to others 2023-05-22,others,others,2023-05-22T07:51:11,2023-06-03T09:59:26,False,success,repo-12,18
deploy-68,deployed from the prod to prod 2022-10-06,prod,prod,2022-10-06T15:21:27,2022-10-26T09:46:01,True,success,repo-26,16
deploy-69,deployed from the UAT to UAT 2023-05-09,UAT,UAT,2023-05-09T13:06:03,2023-06-05T15:33:36,False,failed,repo-14,6
deploy-70,deployed from the prod to prod 2022-12-03,prod,prod,2022-12-03T22:14:40,2023-02-14T08:22:43,True,failed,repo-24,88
deploy-71,deployed from the UAT to QA 2023-04-04,UAT,QA,2023-04-04T14:25:33,2023-05-01T22:16:14,False,failed,repo-26,30
deploy-72,deployed from the build to build 2022-07-18,build,build,2022-07-18T18:25:08,2022-08-13T19:01:01,False,failed,repo-17,52
deploy-73,deployed from the QA to UAT 2023-03-08,QA,UAT,2023-03-08T00:25:45,2023-03-31T03:38:38,False,success,repo-7,87
deploy-74,deployed from the QA to QA 2023-01-29,QA,QA,2023-01-29T02:10:14,2023-02-06T22:46:52,False,failed,repo-7,2
deploy-75,deployed from the UAT to prod 2023-03-24,UAT,prod,2023-03-24T03:11:23,2023-05-08T08:21:19,True,success,repo-7,15
deploy-76,deployed from the build to UAT 2023-04-19,build,UAT,2023-04-19T08:21:22,2023-05-11T12:35:49,False,failed,repo-9,67
deploy-77,deployed from the QA to QA 2022-11-19,QA,QA,2022-11-19T22:40:24,2023-06-18T01:00:49,False,failed,repo-22,83
deploy-78,deployed from the prod to prod 2023-03-07,prod,prod,2023-03-07T19:19:19,2023-06-23T17:42:41,True,failed,repo-28,88
deploy-79,deployed from the build to prod 2022-07-30,build,prod,2022-07-30T19:52:15,2023-06-20T21:52:55,True,success,repo-31,60
deploy-80,deployed from the UAT to QA 2022-12-31,UAT,QA,2022-12-31T15:20:19,2023-02-18T23:23:03,False,success,repo-32,15
deploy-81,deployed from the others to QA 2022-07-16,others,QA,2022-07-16T10:47:20,2023-02-16T20:55:28,False,failed,repo-34,87
deploy-82,deployed from the others to others 2022-08-29,others,others,2022-08-29T18:44:46,2023-04-27T18:26:24,False,success,repo-1,12
deploy-83,deployed from the UAT to prod 2023-05-24,UAT,prod,2023-05-24T22:35:51,2023-05-31T11:53:40,True,success,repo-5,87
deploy-84,deployed from the build to QA 2023-07-14,build,QA,2023-07-14T13:49:22,2023-07-18T04:41:08,False,success,repo-11,16
deploy-85,deployed from the UAT to build 2022-09-19,UAT,build,2022-09-19T01:39:33,2023-01-02T09:47:53,False,success,repo-13,27
deploy-86,deployed from the prod to prod 2022-09-16,prod,prod,2022-09-16T17:33:05,2023-06-09T03:44:21,True,success,repo-5,44
deploy-87,deployed from the prod to prod 2023-04-03,prod,prod,2023-04-03T21:05:40,2023-04-30T01:25:33,True,success,repo-23,9
deploy-88,deployed from the QA to UAT 2022-10-12,QA,UAT,2022-10-12T01:27:54,2022-12-11T01:38:08,False,failed,repo-16,58
deploy-89,deployed from the others to others 2023-05-17,others,others,2023-05-17T10:23:34,2023-06-05T17:39:56,False,success,repo-18,39
deploy-90,deployed from the UAT to prod 2023-04-20,UAT,prod,2023-04-20T17:55:01,2023-07-12T10:39:51,True,failed,repo-12,31
deploy-91,deployed from the prod to prod 2023-06-17,prod,prod,2023-06-17T06:17:13,2023-07-18T10:55:07,True,success,repo-12,23
deploy-92,deployed from the build to QA 2022-09-02,build,QA,2022-09-02T07:39:34,2023-03-14T20:00:50,False,failed,repo-11,18
deploy-93,deployed from the others to QA 2023-01-09,others,QA,2023-01-09T03:24:19,2023-03-05T04:33:05,False,failed,repo-18,86
deploy-94,deployed from the build to UAT 2023-07-12,build,UAT,2023-07-12T02:23:52,2023-07-18T11:24:29,False,success,repo-32,72
deploy-95,deployed from the UAT to build 2022-08-20,UAT,build,2022-08-20T14:10:35,2022-12-10T04:09:16,False,success,repo-11,51
deploy-96,deployed from the prod to prod 2023-07-02,prod,prod,2023-07-02T06:25:50,2023-07-12T14:22:23,True,success,repo-3,32
deploy-97,deployed from the prod to prod 2023-03-29,prod,prod,2023-03-29T20:30:57,2023-07-08T00:48:39,True,failed,repo-7,24
deploy-98,deployed from the build to prod 2023-05-18,build,prod,2023-05-18T19:19:01,2023-06-16T18:08:57,True,failed,repo-23,79
deploy-99,deployed from the others to QA 2023-02-14,others,QA,2023-02-14T05:41:01,2023-03-13T11:43:39,False,failed,repo-19,17
deploy-100,deployed from the build to QA 2022-09-30,build,QA,2022-09-30T06:54:35,2023-07-06T18:04:07,False,failed,repo-8,34
deploy-101,deployed from the others to others 2022-07-16,others,others,2022-07-16T03:03:18,2022-08-24T03:47:23,False,failed,repo-33,76
deploy-102,deployed from the build to QA 2023-03-28,build,QA,2023-03-28T23:35:49,2023-04-16T17:38:44,False,success,repo-16,68
deploy-103,deployed from the QA to QA 2023-03-05,QA,QA,2023-03-05T20:29:32,2023-05-28T08:56:44,False,success,repo-18,89
deploy-104,deployed from the prod to prod 2023-05-20,prod,prod,2023-05-20T10:25:06,2023-06-04T16:37:06,True,failed,repo-22,23
deploy-105,deployed from the build to UAT 2023-04-19,build,UAT,2023-04-19T19:35:37,2023-05-24T23:13:08,False,success,repo-12,76
deploy-106,deployed from the QA to build 2022-08-16,QA,build,2022-08-16T06:44:20,2022-12-23T19:16:59,False,success,repo-13,67
deploy-107,deployed from the UAT to prod 2022-07-08,UAT,prod,2022-07-08T20:59:49,2023-02-22T21:25:36,True,success,repo-19,80
deploy-108,deployed from the prod to prod 2023-02-14,prod,prod,2023-02-14T20:20:37,2023-04-15T14:48:51,True,failed,repo-27,36
deploy-109,deployed from the prod to prod 2022-09-20,prod,prod,2022-09-20T02:08:30,2023-07-06T21:25:20,True,success,repo-5,71
deploy-110,deployed from the others to prod 2022-08-18,others,prod,2022-08-18T09:56:23,2023-02-06T03:59:33,True,success,repo-13,10
deploy-111,deployed from the QA to others 2023-01-17,QA,others,2023-01-17T15:51:08,2023-04-10T14:12:27,False,success,repo-32,97
deploy-112,deployed from the QA to others 2022-07-22,QA,others,2022-07-22T11:23:41,2023-03-19T07:44:07,False,success,repo-10,40
deploy-113,deployed from the UAT to others 2022-12-20,UAT,others,2022-12-20T16:26:25,2023-01-26T11:47:01,False,success,repo-7,37
deploy-114,deployed from the others to UAT 2022-12-31,others,UAT,2022-12-31T00:42:33,2023-01-22T13:38:15,False,failed,repo-20,52
deploy-115,deployed from the prod to prod 2023-02-06,prod,prod,2023-02-06T06:00:45,2023-04-04T20:47:07,True,failed,repo-9,98
deploy-116,deployed from the prod to prod 2022-11-12,prod,prod,2022-11-12T17:52:22,2023-02-08T11:19:41,True,failed,repo-25,14
deploy-117,deployed from the build to others 2022-11-24,build,others,2022-11-24T05:25:24,2023-01-17T12:10:01,False,success,repo-8,45
deploy-118,deployed from the prod to prod 2023-05-21,prod,prod,2023-05-21T17:12:52,2023-06-24T09:30:58,True,failed,repo-34,72
deploy-119,deployed from the prod to prod 2023-04-25,prod,prod,2023-04-25T02:04:02,2023-06-13T04:16:38,True,success,repo-16,98
deploy-120,deployed from the UAT to others 2022-12-03,UAT,others,2022-12-03T12:41:56,2023-02-25T18:00:35,False,failed,repo-25,86
deploy-121,deployed from the UAT to build 2023-03-06,UAT,build,2023-03-06T07:25:30,2023-06-07T08:45:43,False,failed,repo-13,76
deploy-122,deployed from the build to UAT 2022-08-01,build,UAT,2022-08-01T08:09:59,2023-06-12T07:48:29,False,success,repo-30,42
deploy-123,deployed from the others to others 2023-01-17,others,others,2023-01-17T20:13:43,2023-02-14T20:37:46,False,failed,repo-12,9
deploy-124,deployed from the others to QA 2023-04-25,others,QA,2023-04-25T11:26:18,2023-04-25T19:45:40,False,failed,repo-3,79
deploy-125,deployed from the QA to UAT 2022-09-23,QA,UAT,2022-09-23T10:23:57,2023-01-18T17:54:44,False,success,repo-19,42
deploy-126,deployed from the QA to prod 2022-12-29,QA,prod,2022-12-29T05:06:02,2023-01-19T12:08:08,True,success,repo-27,43
deploy-127,deployed from the build to prod 2022-09-08,build,prod,2022-09-08T05:12:44,2022-09-26T05:35:04,True,failed,repo-26,25
deploy-128,deployed from the QA to build 2022-07-28,QA,build,2022-07-28T19:46:07,2023-01-14T21:39:55,False,failed,repo-12,65
deploy-129,deployed from the QA to build 2023-05-19,QA,build,2023-05-19T12:14:39,2023-05-27T20:06:55,False,failed,repo-29,54
deploy-130,deployed from the build to others 2023-06-07,build,others,2023-06-07T22:59:00,2023-06-29T03:22:13,False,success,repo-19,47
deploy-131,deployed from the build to others 2023-05-27,build,others,2023-05-27T22:12:48,2023-06-19T07:47:46,False,success,repo-1,90
deploy-132,deployed from the build to build 2023-02-01,build,build,2023-02-01T06:36:20,2023-06-05T15:17:58,False,success,repo-28,57
deploy-133,deployed from the QA to others 2022-11-24,QA,others,2022-11-24T05:38:57,2023-02-12T00:00:29,False,success,repo-29,43
deploy-134,deployed from the UAT to others 2023-06-20,UAT,others,2023-06-20T12:23:54,2023-07-17T08:00:32,False,success,repo-18,59
deploy-135,deployed from the prod to prod 2023-07-07,prod,prod,2023-07-07T10:01:01,2023-07-08T08:19:16,True,success,repo-4,28
deploy-136,deployed from the prod to prod 2023-06-10,prod,prod,2023-06-10T08:57:17,2023-07-12T15:35:08,True,failed,repo-29,16
deploy-137,deployed from the UAT to UAT 2022-10-08,UAT,UAT,2022-10-08T12:44:47,2023-03-15T04:49:32,False,failed,repo-12,4
deploy-138,deployed from the others to others 2022-11-04,others,others,2022-11-04T16:10:27,2023-07-03T21:02:15,False,success,repo-18,3
deploy-139,deployed from the others to others 2023-06-25,others,others,2023-06-25T21:40:55,2023-07-13T01:32:40,False,success,repo-13,53
deploy-140,deployed from the UAT to build 2022-07-28,UAT,build,2022-07-28T21:42:39,2023-01-08T02:03:55,False,failed,repo-26,92
deploy-141,deployed from the build to build 2023-04-06,build,build,2023-04-06T21:20:56,2023-06-14T15:30:14,False,success,repo-8,77
deploy-142,deployed from the build to build 2022-09-24,build,build,2022-09-24T08:50:36,2022-10-30T17:53:36,False,success,repo-5,71
deploy-143,deployed from the prod to prod 2022-08-30,prod,prod,2022-08-30T21:14:32,2023-01-19T20:16:09,True,success,repo-5,90
deploy-144,deployed from the UAT to prod 2023-06-01,UAT,prod,2023-06-01T02:32:01,2023-06-22T04:33:46,True,success,repo-1,20
deploy-145,deployed from the others to prod 2023-02-25,others,prod,2023-02-25T20:50:37,2023-07-12T05:34:15,True,failed,repo-28,43
deploy-146,deployed from the QA to others 2022-08-02,QA,others,2022-08-02T12:28:35,2023-05-18T13:12:57,False,failed,repo-25,57
deploy-147,deployed from the others to others 2023-06-26,others,others,2023-06-26T07:09:26,2023-07-01T13:14:46,False,failed,repo-17,28
deploy-148,deployed from the build to QA 2022-08-22,build,QA,2022-08-22T15:30:19,2023-05-12T22:07:49,False,failed,repo-27,15
deploy-149,deployed from the prod to prod 2022-11-15,prod,prod,2022-11-15T03:05:33,2022-12-18T04:53:12,True,failed,repo-23,81
deploy-150,deployed from the QA to QA 2022-11-30,QA,QA,2022-11-30T12:37:27,2023-04-15T03:35:33,False,success,repo-7,20
deploy-151,deployed from the UAT to build 2023-01-15,UAT,build,2023-01-15T07:43:14,2023-07-08T21:02:05,False,failed,repo-31,61
deploy-152,deployed from the others to prod 2023-04-25,others,prod,2023-04-25T06:57:31,2023-07-07T07:25:42,True,success,repo-32,73
deploy-153,deployed from the prod to prod 2022-08-11,prod,prod,2022-08-11T18:37:18,2023-01-18T05:10:23,True,success,repo-13,67
deploy-154,deployed from the build to prod 2023-04-22,build,prod,2023-04-22T18:40:15,2023-07-15T11:00:41,True,success,repo-2,81
deploy-155,deployed from the QA to UAT 2022-08-15,QA,UAT,2022-08-15T14:06:58,2023-03-12T21:24:30,False,failed,repo-8,81
deploy-156,deployed from the prod to prod 2023-06-23,prod,prod,2023-06-23T14:23:16,2023-07-01T00:41:42,True,success,repo-17,32
deploy-157,deployed from the others to UAT 2023-02-09,others,UAT,2023-02-09T15:43:06,2023-07-07T05:18:58,False,success,repo-11,15
deploy-158,deployed from the prod to prod 2023-01-04,prod,prod,2023-01-04T06:50:14,2023-07-17T08:04:33,True,success,repo-20,94
deploy-159,deployed from the prod to prod 2023-03-18,prod,prod,2023-03-18T01:54:05,2023-04-04T05:46:26,True,success,repo-3,60
deploy-160,deployed from the UAT to others 2022-12-02,UAT,others,2022-12-02T13:11:08,2023-01-24T10:14:39,False,success,repo-25,36
deploy-161,deployed from the QA to prod 2022-07-13,QA,prod,2022-07-13T00:39:32,2022-11-02T18:54:00,True,failed,repo-18,80
deploy-162,deployed from the others to UAT 2023-03-03,others,UAT,2023-03-03T08:04:15,2023-03-24T19:20:44,False,failed,repo-29,58
deploy-163,deployed from the build to prod 2023-04-28,build,prod,2023-04-28T16:43:04,2023-06-16T21:27:47,True,failed,repo-31,54
deploy-164,deployed from the QA to others 2023-04-27,QA,others,2023-04-27T20:06:43,2023-07-08T12:14:40,False,failed,repo-2,48
deploy-165,deployed from the UAT to build 2023-02-02,UAT,build,2023-02-02T01:01:47,2023-07-06T05:38:25,False,success,repo-26,83
deploy-166,deployed from the UAT to build 2022-07-09,UAT,build,2022-07-09T23:44:31,2022-09-25T17:41:04,False,success,repo-33,71
deploy-167,deployed from the prod to prod 2023-02-19,prod,prod,2023-02-19T05:06:49,2023-04-08T22:02:29,True,success,repo-15,44
deploy-168,deployed from the QA to prod 2022-08-23,QA,prod,2022-08-23T01:19:14,2022-11-09T01:22:30,True,success,repo-34,47
deploy-169,deployed from the UAT to UAT 2022-10-17,UAT,UAT,2022-10-17T08:13:17,2022-10-19T12:43:08,False,failed,repo-6,67
deploy-170,deployed from the QA to others 2023-07-09,QA,others,2023-07-09T06:30:01,2023-07-13T07:43:51,False,success,repo-20,78
deploy-171,deployed from the QA to UAT 2023-02-10,QA,UAT,2023-02-10T20:09:40,2023-03-07T20:32:51,False,success,repo-30,91
deploy-172,deployed from the QA to prod 2022-07-07,QA,prod,2022-07-07T14:36:09,2023-04-30T00:04:37,True,failed,repo-14,29
deploy-173,deployed from the prod to prod 2023-05-01,prod,prod,2023-05-01T09:22:37,2023-05-19T16:43:40,True,success,repo-17,84
deploy-174,deployed from the UAT to build 2022-11-09,UAT,build,2022-11-09T13:53:46,2023-07-09T17:01:38,False,success,repo-25,64
deploy-175,deployed from the QA to build 2022-07-20,QA,build,2022-07-20T00:24:05,2023-05-12T20:46:18,False,success,repo-5,74
deploy-176,deployed from the QA to prod 2022-08-13,QA,prod,2022-08-13T12:45:36,2023-05-29T11:13:56,True,success,repo-6,87
deploy-177,deployed from the QA to QA 2023-02-14,QA,QA,2023-02-14T16:29:38,2023-06-02T04:38:33,False,failed,repo-24,68
deploy-178,deployed from the QA to UAT 2023-06-07,QA,UAT,2023-06-07T17:35:56,2023-06-12T08:39:04,False,success,repo-5,25
deploy-179,deployed from the QA to prod 2023-04-16,QA,prod,2023-04-16T13:11:33,2023-06-23T09:24:17,True,success,repo-24,72
deploy-180,deployed from the UAT to UAT 2022-10-05,UAT,UAT,2022-10-05T20:08:33,2023-06-20T13:26:18,False,success,repo-10,60
deploy-181,deployed from the others to build 2022-08-10,others,build,2022-08-10T13:00:45,2023-01-09T04:54:47,False,success,repo-11,98
deploy-182,deployed from the QA to others 2022-11-16,QA,others,2022-11-16T06:14:51,2023-03-30T16:55:05,False,success,repo-29,8
deploy-183,deployed from the prod to prod 2022-08-02,prod,prod,2022-08-02T09:19:52,2022-11-11T13:41:58,True,success,repo-25,59
deploy-184,deployed from the others to build 2023-01-21,others,build,2023-01-21T17:15:58,2023-03-22T02:34:46,False,failed,repo-34,73
deploy-185,deployed from the build to UAT 2022-11-29,build,UAT,2022-11-29T16:13:16,2023-03-23T22:20:13,False,failed,repo-1,25
deploy-186,deployed from the QA to QA 2022-11-22,QA,QA,2022-11-22T12:37:21,2023-06-24T20:40:39,False,success,repo-32,36
deploy-187,deployed from the build to QA 2022-12-03,build,QA,2022-12-03T15:37:43,2023-04-11T02:15:34,False,failed,repo-16,31
deploy-188,deployed from the prod to prod 2023-01-25,prod,prod,2023-01-25T09:31:12,2023-04-03T08:12:35,True,success,repo-29,49
deploy-189,deployed from the build to prod 2022-07-09,build,prod,2022-07-09T03:52:20,2022-07-27T18:19:30,True,success,repo-33,11
deploy-190,deployed from the prod to prod 2022-12-09,prod,prod,2022-12-09T00:42:39,2023-06-18T03:39:14,True,success,repo-31,78
deploy-191,deployed from the UAT to build 2022-07-07,UAT,build,2022-07-07T17:04:20,2022-12-02T09:40:21,False,failed,repo-27,59
deploy-192,deployed from the UAT to others 2022-12-08,UAT,others,2022-12-08T17:32:14,2023-03-08T08:08:22,False,success,repo-7,80
deploy-193,deployed from the others to build 2023-01-19,others,build,2023-01-19T06:43:13,2023-04-30T18:35:09,False,success,repo-30,37
deploy-194,deployed from the UAT to prod 2022-12-11,UAT,prod,2022-12-11T16:45:50,2023-01-29T06:51:32,True,failed,repo-31,80
deploy-195,deployed from the QA to QA 2023-07-12,QA,QA,2023-07-12T19:16:09,2023-07-18T01:58:02,False,failed,repo-33,70
deploy-196,deployed from the build to QA 2023-05-04,build,QA,2023-05-04T02:35:09,2023-07-10T12:24:17,False,success,repo-25,16
deploy-197,deployed from the build to UAT 2022-11-30,build,UAT,2022-11-30T09:14:09,2023-02-02T07:21:26,False,failed,repo-24,21
deploy-198,deployed from the others to build 2022-10-06,others,build,2022-10-06T20:38:26,2022-11-08T07:23:24,False,failed,repo-15,71
deploy-199,deployed from the prod to prod 2023-05-11,prod,prod,2023-05-11T10:25:01,2023-06-06T03:40:30,True,failed,repo-13,81
deploy-200,deployed from the UAT to others 2023-03-28,UAT,others,2023-03-28T13:40:01,2023-06-12T02:00:22,False,success,repo-19,66
deploy-201,deployed from the QA to UAT 2022-07-20,QA,UAT,2022-07-20T02:47:57,2022-09-19T18:28:50,False,success,repo-5,36
deploy-202,deployed from the UAT to prod 2023-04-11,UAT,prod,2023-04-11T17:01:06,2023-06-13T19:32:18,True,failed,repo-31,78
deploy-203,deployed from the prod to prod 2023-06-22,prod,prod,2023-06-22T16:18:53,2023-07-15T19:38:17,True,success,repo-34,30
deploy-204,deployed from the others to UAT 2022-12-20,others,UAT,2022-12-20T21:03:13,2023-04-29T16:16:00,False,success,repo-9,35
deploy-205,deployed from the UAT to UAT 2022-10-09,UAT,UAT,2022-10-09T12:25:37,2023-06-20T14:16:41,False,failed,repo-21,58
deploy-206,deployed from the QA to prod 2023-07-07,QA,prod,2023-07-07T09:33:09,2023-07-17T21:09:54,True,failed,repo-13,12
deploy-207,deployed from the QA to others 2022-09-27,QA,others,2022-09-27T00:01:41,2022-12-02T08:46:01,False,failed,repo-27,54
deploy-208,deployed from the build to build 2023-06-14,build,build,2023-06-14T20:51:59,2023-07-18T11:02:58,False,success,repo-18,78
