pull_request_id,description,state,created_at,merged_at,closed_at,creator_id,repository_id
pr-24,pull request_24,open,2023-06-30T22:03:02,2023-07-15T04:56:41,2023-07-19T02:53:14,49,repo-11
pr-25,pull request_25,closed,2023-02-28T18:28:20,2023-03-17T03:43:00,2023-04-17T08:40:32,85,repo-7
pr-26,pull request_26,closed,2023-06-14T22:36:26,2023-06-18T21:09:11,2023-07-09T19:42:55,100,repo-22
pr-27,pull request_27,open,2022-10-19T06:29:09,2023-03-21T20:22:38,2023-04-14T04:31:30,4,repo-14
pr-28,pull request_28,open,2022-12-31T14:23:41,2023-07-16T18:29:50,2023-07-16T22:45:31,65,repo-3
pr-29,pull request_29,closed,2023-01-21T17:48:31,2023-05-16T21:45:31,2023-06-22T03:47:53,88,repo-7
pr-30,pull request_30,closed,2023-02-04T05:00:04,2023-04-27T03:01:24,2023-05-26T14:52:55,68,repo-22
pr-31,pull request_31,closed,2022-10-08T07:26:04,2023-07-06T13:33:14,2023-07-07T18:46:34,19,repo-32
pr-32,pull request_32,closed,2023-05-24T03:59:30,2023-06-01T06:13:18,2023-06-08T06:44:40,19,repo-34
pr-33,pull request_33,closed,2022-11-08T11:21:56,2023-06-23T07:46:57,2023-06-27T12:46:20,86,repo-3
pr-34,pull request_34,open,2023-06-04T23:33:07,2023-06-14T17:06:14,2023-07-05T02:16:45,29,repo-20
pr-35,pull request_35,closed,2023-02-22T07:03:44,2023-07-15T14:48:36,2023-07-19T12:25:42,71,repo-29
pr-36,pull request_36,closed,2022-10-03T08:01:09,2023-01-24T11:50:32,2023-04-21T00:10:40,75,repo-6
pr-37,pull request_37,closed,2022-09-26T12:09:03,2023-04-08T00:55:17,2023-05-04T16:10:46,29,repo-24
pr-38,pull request_38,closed,2023-05-27T05:27:59,2023-06-28T17:53:13,2023-07-01T12:23:06,49,repo-17
pr-39,pull request_39,open,2023-02-21T13:59:52,2023-05-03T17:37:44,2023-05-05T09:30:16,15,repo-23
pr-40,pull request_40,closed,2022-08-18T03:09:02,2022-12-10T15:28:49,2023-05-09T05:28:05,87,repo-10
pr-41,pull request_41,closed,2023-05-24T13:53:25,2023-07-05T12:56:29,2023-07-05T17:25:06,39,repo-3
pr-42,pull request_42,closed,2022-10-26T09:20:37,2023-05-27T16:00:17,2023-05-27T18:50:13,44,repo-27
pr-43,pull request_43,closed,2023-05-07T11:22:51,2023-07-07T20:28:34,2023-07-15T21:05:49,5,repo-14
pr-44,pull request_44,open,2023-07-14T17:53:13,2023-07-19T01:36:23,2023-07-19T03:47:43,24,repo-14
pr-45,pull request_45,open,2023-01-15T08:55:27,2023-01-19T20:14:01,2023-05-22T15:08:03,52,repo-7
pr-46,pull request_46,closed,2022-07-14T01:38:08,2022-11-04T21:13:59,2023-07-08T15:01:20,38,repo-1
pr-47,pull request_47,open,2022-11-16T11:58:24,2023-03-14T15:53:42,2023-03-15T13:09:18,37,repo-9
pr-48,pull request_48,closed,2022-07-19T17:27:08,2022-09-09T12:49:41,2023-06-18T13:01:10,51,repo-31
pr-49,pull request_49,open,2022-10-06T18:22:46,2022-12-18T13:25:28,2023-03-07T03:09:41,31,repo-14
pr-50,pull request_50,closed,2022-10-09T19:40:11,2023-05-22T14:48:21,2023-07-04T05:06:45,58,repo-5
pr-51,pull request_51,open,2022-12-27T06:01:52,2023-03-01T08:45:28,2023-05-31T09:16:56,90,repo-7
pr-52,pull request_52,open,2023-06-18T18:57:03,2023-06-24T23:07:30,2023-07-09T07:20:24,47,repo-22
pr-53,pull request_53,closed,2022-12-21T07:08:28,2023-06-22T18:59:25,2023-07-11T00:21:29,27,repo-31
pr-54,pull request_54,closed,2022-11-18T18:21:30,2023-06-17T09:05:54,2023-07-10T19:54:31,68,repo-26
pr-55,pull request_55,closed,2022-09-09T20:03:15,2022-10-28T23:54:33,2023-02-26T22:14:33,91,repo-16
pr-56,pull request_56,open,2023-01-30T05:33:17,2023-06-26T14:08:59,2023-07-10T19:54:19,63,repo-23
pr-57,pull request_57,open,2022-10-05T11:55:32,2023-04-26T21:36:40,2023-07-07T04:47:11,36,repo-3
pr-58,pull request_58,closed,2022-12-10T17:59:50,2023-06-03T05:32:12,2023-06-05T22:43:25,35,repo-7
pr-59,pull request_59,closed,2022-10-20T19:52:32,2022-12-19T10:03:23,2023-06-24T18:24:09,96,repo-7
pr-60,pull request_60,open,2022-10-11T13:12:03,2023-06-22T13:41:57,2023-06-24T21:28:21,31,repo-28
pr-61,pull request_61,closed,2022-07-12T00:51:02,2023-05-15T19:41:39,2023-06-17T18:25:27,60,repo-15
pr-62,pull request_62,closed,2022-09-24T12:01:46,2023-01-30T20:42:01,2023-03-21T22:30:01,19,repo-10
pr-63,pull request_63,open,2023-05-11T03:11:02,2023-05-15T11:01:35,2023-05-19T08:00:06,14,repo-15
pr-64,pull request_64,open,2023-07-15T00:13:57,2023-07-16T01:45:31,2023-07-17T14:33:10,59,repo-19
pr-65,pull request_65,closed,2023-01-08T19:42:42,2023-06-25T03:37:37,2023-07-13T21:36:16,93,repo-15
pr-66,pull request_66,closed,2023-07-13T12:56:07,2023-07-14T10:51:37,2023-07-19T21:10:45,51,repo-10
pr-67,pull request_67,closed,2023-06-19T03:08:46,2023-07-08T12:26:55,2023-07-19T09:19:43,4,repo-10
pr-68,pull request_68,closed,2023-06-19T22:45:44,2023-07-07T17:00:13,2023-07-09T22:36:02,66,repo-10
pr-69,pull request_69,open,2022-11-26T04:07:34,2023-03-01T01:43:04,2023-03-02T21:38:45,56,repo-8
pr-70,pull request_70,open,2022-11-25T14:50:12,2023-02-24T18:16:29,2023-07-03T02:45:39,9,repo-23
pr-71,pull request_71,open,2023-06-06T06:05:45,2023-07-17T04:29:57,2023-07-19T17:44:49,1,repo-34
pr-72,pull request_72,open,2023-03-10T01:21:56,2023-06-07T16:17:19,2023-06-17T11:54:45,71,repo-16
pr-73,pull request_73,open,2023-01-23T19:23:14,2023-05-08T10:39:49,2023-05-14T03:27:35,25,repo-6
pr-74,pull request_74,open,2023-01-13T14:16:04,2023-02-28T22:44:02,2023-03-29T13:49:15,65,repo-1
pr-75,pull request_75,closed,2023-06-20T09:18:20,2023-07-11T10:07:44,2023-07-19T07:54:39,57,repo-22
pr-76,pull request_76,closed,2023-05-01T13:27:01,2023-06-10T01:19:33,2023-06-29T01:43:04,27,repo-22
pr-77,pull request_77,closed,2023-05-13T20:02:11,2023-06-27T05:24:10,2023-07-19T02:48:48,75,repo-24
pr-78,pull request_78,open,2023-02-15T17:06:39,2023-05-08T21:50:21,2023-06-17T21:52:18,46,repo-22
pr-79,pull request_79,closed,2022-07-12T16:23:45,2022-10-01T18:46:29,2023-04-10T22:01:40,77,repo-20
pr-80,pull request_80,open,2022-09-20T13:41:38,2023-03-06T06:12:39,2023-03-09T21:49:35,46,repo-28
pr-81,pull request_81,open,2022-08-12T19:31:17,2022-11-18T18:26:00,2023-03-11T02:19:56,49,repo-18
pr-82,pull request_82,open,2022-07-18T14:41:56,2023-04-02T11:26:28,2023-05-14T02:13:25,97,repo-13
pr-83,pull request_83,closed,2023-03-07T03:57:39,2023-03-30T12:45:26,2023-07-04T23:13:17,90,repo-31
pr-84,pull request_84,open,2022-08-14T23:17:36,2023-04-05T17:53:18,2023-06-07T20:05:27,12,repo-34
pr-85,pull request_85,closed,2023-07-01T09:18:43,2023-07-13T06:25:31,2023-07-17T17:36:24,4,repo-29
pr-86,pull request_86,closed,2022-11-15T15:36:36,2023-02-16T20:01:32,2023-07-18T20:20:10,31,repo-7
pr-87,pull request_87,open,2023-06-26T19:41:49,2023-07-15T00:09:08,2023-07-16T18:47:34,3,repo-11
pr-88,pull request_88,closed,2022-12-04T05:54:04,2023-02-27T09:43:19,2023-07-18T23:17:34,67,repo-25
pr-89,pull request_89,open,2022-11-15T22:00:32,2023-01-14T04:54:57,2023-05-29T08:31:25,29,repo-22
pr-90,pull request_90,closed,2022-08-11T09:39:19,2022-12-13T15:38:19,2023-01-08T02:28:21,60,repo-23
pr-91,pull request_91,open,2023-04-16T20:32:42,2023-04-26T18:23:29,2023-05-02T16:11:58,14,repo-30
pr-92,pull request_92,open,2022-11-28T00:57:56,2023-03-07T01:48:01,2023-06-06T05:41:57,11,repo-28
pr-93,pull request_93,closed,2022-07-08T01:46:54,2022-09-06T00:10:52,2022-12-23T10:16:04,13,repo-15
pr-94,pull request_94,open,2023-06-28T11:45:32,2023-07-19T22:15:01,2023-07-19T22:34:42,13,repo-30
pr-95,pull request_95,open,2023-03-31T08:13:19,2023-06-24T01:57:36,2023-07-03T10:19:50,20,repo-29
pr-96,pull request_96,closed,2023-02-14T06:22:13,2023-04-05T18:53:55,2023-05-02T16:38:24,92,repo-31
pr-97,pull request_97,closed,2023-04-22T13:50:48,2023-05-05T20:21:18,2023-07-06T17:33:53,24,repo-21
pr-98,pull request_98,closed,2022-12-04T14:14:56,2023-04-10T13:26:04,2023-05-23T15:54:48,79,repo-3
pr-99,pull request_99,open,2022-09-09T08:31:34,2023-01-29T09:13:20,2023-03-18T16:04:26,92,repo-5
pr-100,pull request_100,open,2023-06-22T03:09:14,2023-06-26T21:38:08,2023-06-28T01:16:35,50,repo-7
pr-101,pull request_101,closed,2022-11-20T23:26:41,2023-02-27T13:44:54,2023-04-10T18:18:01,50,repo-1
pr-102,pull request_102,closed,2022-10-02T20:21:03,2023-06-28T01:12:24,2023-06-28T13:25:58,28,repo-20
pr-103,pull request_103,closed,2022-09-20T18:03:22,2023-06-15T06:00:19,2023-07-10T00:20:48,48,repo-8
pr-104,pull request_104,closed,2022-12-17T06:31:44,2023-05-18T23:47:42,2023-07-04T06:43:49,39,repo-30
pr-105,pull request_105,open,2023-06-26T11:15:49,2023-07-08T23:51:08,2023-07-19T15:22:40,58,repo-20
pr-106,pull request_106,open,2022-11-20T01:17:45,2023-01-16T02:19:20,2023-05-10T21:34:46,39,repo-29
pr-107,pull request_107,closed,2022-07-07T13:36:20,2023-04-17T05:01:42,2023-04-23T18:28:53,32,repo-31
pr-108,pull request_108,open,2023-03-23T07:44:34,2023-06-22T00:20:06,2023-07-15T21:23:32,70,repo-3
pr-109,pull request_109,open,2023-04-25T11:08:40,2023-06-23T15:05:55,2023-07-18T07:00:03,26,repo-8
pr-110,pull request_110,closed,2023-05-28T05:45:58,2023-06-17T20:45:39,2023-07-09T10:33:15,45,repo-6
pr-111,pull request_111,open,2023-03-22T22:38:49,2023-05-06T22:47:23,2023-05-08T02:49:27,21,repo-31
pr-112,pull request_112,closed,2022-07-14T05:13:58,2023-01-12T03:49:15,2023-04-16T20:51:15,38,repo-32
pr-113,pull request_113,open,2023-06-07T03:34:14,2023-07-12T22:32:22,2023-07-19T06:30:37,94,repo-5
pr-114,pull request_114,open,2023-02-28T01:45:18,2023-06-30T19:48:36,2023-07-19T02:39:06,21,repo-28
pr-115,pull request_115,closed,2022-10-12T16:26:04,2023-02-16T03:10:29,2023-03-05T06:31:34,88,repo-11
pr-116,pull request_116,closed,2022-09-14T01:06:58,2023-05-31T04:35:15,2023-07-11T11:20:19,15,repo-20
pr-117,pull request_117,open,2022-08-26T18:46:34,2022-11-24T17:40:34,2023-06-21T02:43:40,7,repo-17
pr-118,pull request_118,closed,2023-01-17T03:37:51,2023-05-04T10:28:45,2023-07-03T20:18:38,32,repo-3
pr-119,pull request_119,closed,2023-03-26T14:56:14,2023-04-25T04:43:40,2023-05-31T19:07:36,60,repo-32
pr-120,pull request_120,open,2023-02-22T22:45:58,2023-03-17T10:14:01,2023-06-08T10:59:35,82,repo-23
pr-121,pull request_121,closed,2022-10-04T05:14:51,2022-10-12T05:56:49,2023-04-08T01:17:54,45,repo-8
pr-122,pull request_122,open,2023-05-03T01:04:01,2023-06-17T12:59:30,2023-06-20T12:51:57,93,repo-10
pr-123,pull request_123,closed,2022-09-20T11:19:16,2023-01-06T22:19:07,2023-04-28T17:08:44,84,repo-16
pr-124,pull request_124,closed,2022-08-06T12:43:53,2023-05-25T05:55:28,2023-05-27T09:48:32,33,repo-22
pr-125,pull request_125,closed,2023-02-03T09:45:38,2023-04-29T06:18:30,2023-06-12T16:14:43,88,repo-1
pr-126,pull request_126,closed,2022-12-19T20:55:21,2023-01-01T19:20:38,2023-01-11T12:00:30,56,repo-8
pr-127,pull request_127,open,2022-07-01T04:20:33,2023-06-03T13:12:17,2023-07-11T16:30:18,18,repo-32
pr-128,pull request_128,open,2023-03-16T01:40:35,2023-04-23T09:48:20,2023-05-24T10:50:51,90,repo-1
pr-129,pull request_129,closed,2022-12-12T00:49:20,2022-12-31T20:35:01,2023-06-16T18:41:12,45,repo-18
pr-130,pull request_130,closed,2023-04-18T22:14:49,2023-07-07T13:00:49,2023-07-12T17:44:17,46,repo-16
pr-131,pull request_131,open,2022-10-02T04:47:15,2022-12-05T11:28:33,2023-03-06T10:44:53,93,repo-27
pr-132,pull request_132,closed,2022-09-14T00:28:04,2022-10-21T18:45:36,2023-06-13T04:44:13,43,repo-5
pr-133,pull request_133,closed,2022-07-15T11:56:32,2022-09-15T04:47:37,2022-11-26T09:21:20,28,repo-3
pr-134,pull request_134,open,2023-05-27T07:54:39,2023-06-28T21:45:17,2023-06-29T08:03:56,52,repo-26
pr-135,pull request_135,closed,2023-04-12T10:03:03,2023-04-28T14:41:26,2023-07-11T04:49:45,70,repo-6
pr-136,pull request_136,open,2023-04-11T11:51:08,2023-07-17T02:15:21,2023-07-17T18:40:45,6,repo-22
pr-137,pull request_137,open,2023-03-14T15:33:06,2023-04-02T06:08:47,2023-04-14T22:41:34,38,repo-28
pr-138,pull request_138,closed,2022-08-07T23:48:31,2023-03-11T19:51:06,2023-05-30T10:03:21,10,repo-26
pr-139,pull request_139,open,2022-09-26T18:51:19,2023-03-09T19:39:25,2023-07-12T16:38:27,69,repo-6
pr-140,pull request_140,open,2023-04-07T11:57:27,2023-05-16T06:22:03,2023-05-27T12:50:39,14,repo-16
pr-141,pull request_141,open,2022-07-18T05:34:03,2023-01-15T05:24:08,2023-05-20T19:24:41,41,repo-19
pr-142,pull request_142,open,2022-08-01T15:08:35,2023-05-21T21:56:41,2023-06-30T02:01:17,15,repo-22
pr-143,pull request_143,closed,2022-07-01T13:30:09,2022-08-04T06:36:59,2022-12-23T00:50:38,79,repo-30
pr-144,pull request_144,closed,2022-11-28T22:23:20,2023-05-09T15:48:19,2023-05-19T17:05:15,22,repo-23
pr-145,pull request_145,open,2023-07-01T14:38:49,2023-07-05T18:11:38,2023-07-08T07:46:56,36,repo-19
pr-146,pull request_146,open,2022-11-11T20:58:24,2022-11-17T22:46:51,2023-04-19T02:52:11,15,repo-27
pr-147,pull request_147,closed,2023-02-23T06:42:12,2023-07-02T03:04:06,2023-07-05T07:50:06,33,repo-4
pr-148,pull request_148,closed,2022-09-08T06:04:09,2023-02-08T09:33:10,2023-04-18T03:39:24,53,repo-32
pr-149,pull request_149,closed,2022-07-12T15:03:58,2023-01-06T04:22:48,2023-01-06T11:25:31,31,repo-32
pr-150,pull request_150,open,2023-02-15T13:47:40,2023-05-27T17:15:15,2023-06-07T23:00:36,65,repo-10
pr-151,pull request_151,open,2023-07-07T23:08:25,2023-07-16T20:25:38,2023-07-18T01:21:38,80,repo-13
pr-152,pull request_152,closed,2022-07-16T01:36:04,2023-06-15T01:17:24,2023-06-17T20:42:02,82,repo-28
pr-153,pull request_153,open,2023-01-29T09:30:40,2023-03-07T10:46:15,2023-07-02T13:23:53,1,repo-21
pr-154,pull request_154,open,2023-04-28T02:15:03,2023-05-15T21:31:01,2023-07-12T16:27:04,1,repo-25
pr-155,pull request_155,open,2023-04-13T10:09:00,2023-05-04T20:01:06,2023-06-06T08:50:25,18,repo-24
pr-156,pull request_156,open,2022-09-05T08:27:47,2023-06-08T09:10:54,2023-07-16T07:51:08,36,repo-8
pr-157,pull request_157,closed,2023-04-17T16:30:49,2023-06-04T04:54:18,2023-06-17T02:21:36,19,repo-31
pr-158,pull request_158,open,2023-01-30T23:27:49,2023-02-27T19:09:03,2023-06-15T10:13:23,23,repo-14
pr-159,pull request_159,open,2023-07-19T15:56:08,2023-07-19T22:21:53,2023-07-19T22:41:07,87,repo-5
pr-160,pull request_160,closed,2022-08-21T13:49:43,2023-01-17T09:57:58,2023-04-04T12:29:10,32,repo-29
pr-161,pull request_161,open,2022-08-22T20:24:31,2022-08-26T04:23:05,2022-10-08T11:03:20,89,repo-9
pr-162,pull request_162,closed,2023-05-19T00:41:25,2023-06-01T12:53:44,2023-06-04T01:36:13,90,repo-2
pr-163,pull request_163,open,2022-07-31T22:45:02,2022-08-10T03:15:00,2022-12-24T14:23:25,91,repo-16
pr-164,pull request_164,open,2022-12-06T22:47:09,2023-03-10T08:09:25,2023-06-03T18:37:35,42,repo-34
pr-165,pull request_165,closed,2023-03-28T09:13:59,2023-04-18T01:37:10,2023-05-22T16:26:29,42,repo-26
pr-166,pull request_166,open,2023-01-23T04:41:25,2023-07-08T03:37:37,2023-07-11T01:29:42,52,repo-21
pr-167,pull request_167,open,2022-11-25T19:05:49,2022-12-01T20:36:33,2023-02-12T15:43:28,77,repo-1
pr-168,pull request_168,open,2022-08-03T19:19:50,2022-11-11T07:22:00,2023-07-13T07:32:19,89,repo-27
pr-169,pull request_169,open,2023-03-22T23:07:57,2023-04-11T23:32:43,2023-05-28T19:19:36,17,repo-27
pr-170,pull request_170,closed,2023-06-05T10:32:41,2023-07-09T09:23:54,2023-07-14T03:18:04,99,repo-26
pr-171,pull request_171,open,2022-11-17T11:04:40,2023-04-01T10:04:44,2023-05-22T20:16:05,46,repo-6
pr-172,pull request_172,closed,2022-09-23T23:24:19,2023-04-15T11:42:00,2023-05-08T00:31:22,78,repo-14
pr-173,pull request_173,closed,2022-09-24T05:17:44,2022-12-19T05:11:55,2023-06-21T07:02:49,32,repo-16
pr-174,pull request_174,closed,2022-10-12T20:35:04,2023-06-06T23:35:38,2023-07-08T00:49:12,32,repo-28
pr-175,pull request_175,open,2022-09-24T05:20:36,2023-02-13T15:56:57,2023-03-13T23:47:53,41,repo-29
pr-176,pull request_176,open,2022-09-02T23:11:16,2022-09-21T17:56:49,2023-01-12T06:49:32,41,repo-21
pr-177,pull request_177,open,2023-03-15T04:24:59,2023-04-19T03:57:24,2023-06-21T21:31:45,82,repo-8
pr-178,pull request_178,closed,2022-12-27T09:20:34,2023-02-03T16:00:37,2023-05-28T12:15:17,30,repo-7
pr-179,pull request_179,closed,2022-08-24T08:15:22,2022-09-08T21:10:43,2023-05-07T06:13:16,11,repo-11
pr-180,pull request_180,closed,2022-10-15T07:02:43,2023-02-15T22:27:37,2023-07-01T10:03:01,70,repo-27
pr-181,pull request_181,closed,2022-08-04T11:26:12,2023-04-06T21:13:05,2023-06-04T11:53:13,52,repo-6
pr-182,pull request_182,open,2022-10-15T09:40:46,2023-03-15T05:16:39,2023-04-01T00:53:26,17,repo-21
pr-183,pull request_183,open,2022-11-26T07:57:36,2023-05-17T05:08:11,2023-06-15T08:20:59,35,repo-30
pr-184,pull request_184,open,2022-09-03T21:20:14,2023-05-14T03:53:18,2023-07-04T04:02:42,28,repo-15
pr-185,pull request_185,closed,2023-06-06T12:55:23,2023-06-07T20:05:07,2023-06-25T21:12:45,66,repo-1
pr-186,pull request_186,closed,2022-10-21T22:17:15,2022-10-31T09:38:34,2022-11-05T21:52:50,33,repo-17
pr-187,pull request_187,open,2023-06-29T20:33:12,2023-07-10T06:57:02,2023-07-19T03:37:35,18,repo-1
pr-188,pull request_188,closed,2022-12-21T21:22:07,2023-02-27T16:46:09,2023-03-27T12:33:18,26,repo-5
pr-189,pull request_189,open,2022-08-08T23:39:50,2023-02-04T01:48:45,2023-04-22T12:40:39,28,repo-3
pr-190,pull request_190,closed,2023-04-11T02:28:39,2023-06-17T23:07:41,2023-06-22T15:28:11,5,repo-8
pr-191,pull request_191,closed,2022-08-14T14:14:28,2023-03-04T07:45:54,2023-06-23T03:57:20,56,repo-22
pr-192,pull request_192,open,2022-10-29T11:51:27,2023-04-03T10:04:01,2023-04-08T17:39:20,44,repo-20
pr-193,pull request_193,closed,2023-01-28T21:53:44,2023-05-16T02:58:06,2023-06-26T08:38:50,86,repo-27
pr-194,pull request_194,closed,2022-09-15T16:19:27,2023-06-24T14:41:25,2023-06-27T12:16:29,87,repo-9
pr-195,pull request_195,open,2023-07-07T05:51:33,2023-07-09T18:16:49,2023-07-12T06:00:26,37,repo-29
pr-196,pull request_196,open,2023-05-08T15:59:26,2023-05-31T02:37:04,2023-07-04T02:54:18,90,repo-5
pr-197,pull request_197,closed,2023-04-30T21:40:59,2023-07-06T10:47:17,2023-07-07T22:22:08,30,repo-20
pr-198,pull request_198,closed,2023-03-24T08:47:40,2023-06-04T07:00:05,2023-07-10T07:22:03,98,repo-33
pr-199,pull request_199,open,2023-02-16T03:25:55,2023-03-30T12:04:51,2023-07-08T04:33:00,84,repo-4
pr-200,pull request_200,open,2022-09-21T22:36:44,2023-06-09T16:07:42,2023-07-07T06:54:50,79,repo-32
pr-201,pull request_201,open,2023-04-04T18:33:42,2023-05-29T06:24:21,2023-06-29T09:50:48,92,repo-13
pr-202,pull request_202,closed,2023-01-19T11:04:58,2023-05-29T05:35:48,2023-07-17T00:45:03,98,repo-19
pr-203,pull request_203,closed,2022-10-21T21:37:15,2023-06-21T15:53:38,2023-07-01T17:38:16,70,repo-11
pr-204,pull request_204,open,2023-01-11T21:25:43,2023-04-12T14:59:28,2023-07-02T03:17:40,100,repo-16
pr-205,pull request_205,open,2023-01-07T08:47:29,2023-03-30T06:46:42,2023-07-01T01:50:13,80,repo-15
pr-206,pull request_206,open,2023-04-01T06:48:30,2023-06-07T13:20:31,2023-07-01T13:33:31,10,repo-18
pr-207,pull request_207,closed,2022-09-04T04:39:56,2022-12-04T23:03:40,2023-07-10T16:51:51,20,repo-13
pr-208,pull request_208,open,2022-11-06T18:26:31,2023-06-03T04:23:37,2023-07-14T04:29:11,76,repo-6
pr-209,pull request_209,open,2023-01-25T10:29:53,2023-01-28T08:18:59,2023-06-09T15:32:19,81,repo-3
pr-210,pull request_210,closed,2022-11-09T20:21:42,2023-01-30T14:47:29,2023-06-19T22:53:49,24,repo-32
pr-211,pull request_211,open,2023-05-29T23:43:16,2023-06-08T19:27:36,2023-06-10T05:26:42,50,repo-15
pr-212,pull request_212,closed,2022-08-22T09:11:38,2023-02-12T05:01:55,2023-03-10T08:01:48,20,repo-11
pr-213,pull request_213,closed,2023-06-21T06:35:26,2023-06-23T16:59:26,2023-06-24T10:25:04,93,repo-20
pr-214,pull request_214,open,2023-04-30T23:42:34,2023-05-04T11:20:58,2023-05-28T02:20:28,53,repo-24
pr-215,pull request_215,closed,2023-03-28T14:51:36,2023-05-08T20:31:29,2023-06-09T02:43:21,35,repo-22
pr-216,pull request_216,closed,2023-05-18T06:13:48,2023-07-07T08:55:47,2023-07-08T10:02:06,88,repo-1
pr-217,pull request_217,closed,2023-02-05T17:21:17,2023-02-14T16:38:17,2023-06-01T18:08:49,79,repo-30
pr-218,pull request_218,open,2023-07-05T11:34:06,2023-07-09T10:50:29,2023-07-13T05:21:51,35,repo-11
pr-219,pull request_219,open,2022-09-01T13:35:30,2022-11-13T09:59:41,2023-06-27T04:45:06,67,repo-8
pr-220,pull request_220,open,2022-08-23T01:08:35,2023-07-09T20:01:22,2023-07-14T01:36:52,69,repo-6
pr-221,pull request_221,open,2023-04-01T04:42:38,2023-05-22T18:12:13,2023-06-23T01:15:20,48,repo-4
pr-222,pull request_222,closed,2023-04-28T23:18:51,2023-07-13T01:39:46,2023-07-16T22:06:08,99,repo-19
pr-223,pull request_223,closed,2023-06-26T20:22:57,2023-07-15T01:45:34,2023-07-19T18:31:08,73,repo-2
pr-224,pull request_224,open,2022-09-04T20:42:30,2023-03-17T02:13:08,2023-03-18T00:13:58,89,repo-13
pr-225,pull request_225,open,2023-02-01T06:48:20,2023-04-01T06:08:07,2023-05-20T03:23:45,35,repo-25
pr-226,pull request_226,open,2023-07-05T05:18:34,2023-07-12T17:13:26,2023-07-18T11:15:05,58,repo-31
pr-227,pull request_227,open,2022-12-22T21:19:20,2023-02-19T18:27:45,2023-04-18T12:32:26,20,repo-23
pr-228,pull request_228,closed,2023-07-05T10:37:49,2023-07-08T17:58:26,2023-07-11T22:58:12,39,repo-11
pr-229,pull request_229,closed,2022-07-17T07:46:35,2022-09-12T14:31:37,2022-12-02T16:07:43,81,repo-24
pr-230,pull request_230,closed,2023-01-07T09:53:50,2023-03-04T23:15:29,2023-06-19T04:33:26,50,repo-14
pr-231,pull request_231,open,2023-06-30T16:26:13,2023-07-03T07:00:21,2023-07-15T14:05:43,35,repo-13
pr-232,pull request_232,open,2023-07-01T23:53:35,2023-07-08T10:02:14,2023-07-11T02:58:08,83,repo-12
pr-233,pull request_233,open,2022-10-11T08:10:07,2023-04-02T02:45:48,2023-07-06T08:10:20,39,repo-3
